date,description,amount,category
2023-01-01,Macy's,63.24,Shopping
2023-01-01,GrubHub,191.93,Food Delivery
2023-01-02,Consulting Invoice,3415.95,Income
2023-01-02,Spotify,412.79,Subscription
2023-01-02,GrubHub,369.13,Food Delivery
2023-01-02,Water Utility,176.07,Utilities
2023-01-02,Internet Subscription,20.92,Utilities
2023-01-03,Monthly Rent Payment,1813.7,Rent
2023-01-03,Water Utility,265.11,Utilities
2023-01-03,Apartment Lease,1423.92,Rent
2023-01-03,Netflix,110.92,Subscription
2023-01-05,Movie Theater,203.7,Entertainment
2023-01-05,Trader Joes,313.12,Groceries
2023-01-06,Safeway,135.59,Groceries
2023-01-07,UberEats,323.86,Food Delivery
2023-01-07,Stater Bros,170.22,Groceries
2023-01-07,Apple TV+,298.23,Subscription
2023-01-07,Internet Subscription,271.08,Utilities
2023-01-08,Bowling Alley,228.42,Entertainment
2023-01-08,Monthly Rent Payment,2140.06,Rent
2023-01-09,Stater Bros,446.01,Groceries
2023-01-10,Whole Foods,455.27,Groceries
2023-01-10,Samsung Online,215.12,Electronics
2023-01-10,Local Gym,59.03,Entertainment
2023-01-11,Apple TV+,484.56,Subscription
2023-01-11,City Parking,325.27,Transport
2023-01-11,TechCorp Salary,4220.74,Income
2023-01-12,Postmates,230.57,Food Delivery
2023-01-13,Insurance Premium,233.8,Healthcare
2023-01-13,Safeway,78.67,Groceries
2023-01-13,Studio Rental,2231.73,Rent
2023-01-13,Stater Bros,262.66,Groceries
2023-01-13,Stater Bros,464.25,Groceries
2023-01-14,Samsung Online,305.41,Electronics
2023-01-14,Sushi Place,93.78,Dining
2023-01-14,Postmates,454.35,Food Delivery
2023-01-15,Dell Store,181.74,Electronics
2023-01-16,Stock Dividend,3534.09,Income
2023-01-16,UberEats,91.56,Food Delivery
2023-01-16,Starbucks,117.65,Dining
2023-01-17,City Parking,305.59,Transport
2023-01-17,Electric Bill,233.25,Utilities
2023-01-17,Internet Subscription,5.29,Utilities
2023-01-18,TechCorp Salary,2130.95,Income
2023-01-18,Doctor Visit,116.94,Healthcare
2023-01-18,Best Buy,283.35,Shopping
2023-01-19,Cell Phone Bill,223.48,Utilities
2023-01-19,Doctor Visit,356.13,Healthcare
2023-01-19,Spotify,425.65,Subscription
2023-01-20,Netflix,231.09,Subscription
2023-01-20,Apple TV+,355.16,Subscription
2023-01-20,Walmart,235.91,Shopping
2023-01-20,Walmart,487.99,Shopping
2023-01-20,Apartment Lease,1145.99,Rent
2023-01-21,Whole Foods,116.01,Groceries
2023-01-21,Studio Rental,1091.21,Rent
2023-01-22,Starbucks,477.24,Dining
2023-01-22,Apple Store,369.74,Electronics
2023-01-22,Water Utility,482.78,Utilities
2023-01-24,Chipotle,194.74,Dining
2023-01-24,Micro Center,158.65,Electronics
2023-01-24,Pharmacy,488.1,Healthcare
2023-01-25,Pharmacy,61.42,Healthcare
2023-01-25,Starbucks,54.81,Dining
2023-01-25,Olive Garden,375.21,Dining
2023-01-26,Insurance Premium,323.24,Healthcare
2023-01-26,Stock Dividend,4174.33,Income
2023-01-26,Electric Bill,221.91,Utilities
2023-01-26,Spotify,165.56,Subscription
2023-01-26,Doctor Visit,53.86,Healthcare
2023-01-27,UberEats,354.08,Food Delivery
2023-01-27,Stater Bros,363.03,Groceries
2023-01-28,Sushi Place,158.57,Dining
2023-01-28,Freelance Payment,2956.17,Income
2023-01-30,Best Buy,230.51,Shopping
2023-01-30,Stock Dividend,6931.15,Income
2023-01-30,Apple Store,255.88,Electronics
2023-01-30,DoorDash,237.42,Food Delivery
2023-01-31,Uber,392.82,Transport
2023-01-31,Apple TV+,121.89,Subscription
2023-01-31,Apple TV+,364.81,Subscription
2023-02-01,Studio Rental,1723.84,Rent
2023-02-02,Macy's,303.09,Shopping
2023-02-02,Micro Center,86.59,Electronics
2023-02-02,Postmates,6.21,Food Delivery
2023-02-02,Disney+ Amazon Prime,411.39,Subscription
2023-02-02,Disney+ Amazon Prime,404.21,Subscription
2023-02-02,Electric Bill,235.05,Utilities
2023-02-02,Samsung Online,397.87,Electronics
2023-02-02,Walmart,207.15,Shopping
2023-02-03,Dell Store,382.85,Electronics
2023-02-03,Stater Bros,484.87,Groceries
2023-02-03,Chipotle,252.29,Dining
2023-02-03,Freelance Payment,5985.8,Income
2023-02-03,Electric Bill,483.75,Utilities
2023-02-03,TechCorp Salary,3975.38,Income
2023-02-04,Local Gym,476.34,Entertainment
2023-02-05,Starbucks,150.18,Dining
2023-02-05,Amazon,421.3,Shopping
2023-02-05,Movie Theater,275.32,Entertainment
2023-02-06,Shell Gas Station,72.94,Transport
2023-02-06,DoorDash,306.01,Food Delivery
2023-02-06,Stock Dividend,6543.64,Income
2023-02-07,Electric Bill,107.06,Utilities
2023-02-07,UberEats,359.17,Food Delivery
2023-02-07,Macy's,362.05,Shopping
2023-02-08,Freelance Payment,4542.5,Income
2023-02-08,Cell Phone Bill,459.06,Utilities
2023-02-09,Starbucks,482.56,Dining
2023-02-09,City Parking,286.29,Transport
2023-02-09,Studio Rental,1933.7,Rent
2023-02-10,Pharmacy,301.99,Healthcare
2023-02-10,Dental Care,268.9,Healthcare
2023-02-12,Stater Bros,437.48,Groceries
2023-02-13,Micro Center,27.03,Electronics
2023-02-13,Market Basket,183.0,Groceries
2023-02-13,Postmates,414.98,Food Delivery
2023-02-15,Target,270.65,Shopping
2023-02-15,Micro Center,327.87,Electronics
2023-02-15,Train Ticket,284.95,Transport
2023-02-15,Bowling Alley,340.3,Entertainment
2023-02-16,Electric Bill,240.94,Utilities
2023-02-16,Target,250.81,Shopping
2023-02-16,Cell Phone Bill,389.17,Utilities
2023-02-18,Monthly Rent Payment,1009.0,Rent
2023-02-18,Freelance Payment,6047.47,Income
2023-02-18,Apartment Lease,1143.16,Rent
2023-02-20,Stater Bros,49.49,Groceries
2023-02-20,Chipotle,87.34,Dining
2023-02-21,Doctor Visit,170.27,Healthcare
2023-02-21,Target,488.24,Shopping
2023-02-21,Safeway,35.85,Groceries
2023-02-22,Electric Bill,90.21,Utilities
2023-02-22,Local Gym,249.47,Entertainment
2023-02-22,Dell Store,73.27,Electronics
2023-02-23,Studio Rental,1439.87,Rent
2023-02-23,Apple Store,260.18,Electronics
2023-02-24,Trader Joes,239.31,Groceries
2023-02-24,Water Utility,200.91,Utilities
2023-02-24,Local Bistro,83.6,Dining
2023-02-25,Netflix,198.89,Subscription
2023-02-25,Macy's,368.64,Shopping
2023-02-25,Monthly Rent Payment,1445.82,Rent
2023-02-25,Consulting Invoice,5337.47,Income
2023-02-26,Apple Store,138.82,Electronics
2023-02-26,Target,112.23,Shopping
2023-02-26,DoorDash,488.55,Food Delivery
2023-02-26,Stock Dividend,6872.96,Income
2023-03-01,Olive Garden,388.17,Dining
2023-03-01,Freelance Payment,3239.95,Income
2023-03-01,Doctor Visit,398.63,Healthcare
2023-03-02,DoorDash,459.19,Food Delivery
2023-03-02,Consulting Invoice,4092.89,Income
2023-03-02,Trader Joes,339.57,Groceries
2023-03-02,Sushi Place,484.84,Dining
2023-03-02,Postmates,315.94,Food Delivery
2023-03-03,Micro Center,224.86,Electronics
2023-03-04,Suspicious Wire Transfer,5572.8,Shopping
2023-03-04,Chipotle,387.01,Dining
2023-03-04,Studio Rental,2199.86,Rent
2023-03-04,Internet Subscription,384.37,Utilities
2023-03-05,Netflix Premium Annual Plan,299.99,Subscription
2023-03-05,Dell Store,357.3,Electronics
2023-03-05,Local Gym,164.76,Entertainment
2023-03-07,Best Buy,212.14,Shopping
2023-03-07,Olive Garden,44.47,Dining
2023-03-07,UberEats,293.33,Food Delivery
2023-03-07,Netflix,148.07,Subscription
2023-03-08,Insurance Premium,224.09,Healthcare
2023-03-10,Shell Gas Station,397.88,Transport
2023-03-10,Studio Rental,1584.09,Rent
2023-03-10,Olive Garden,377.5,Dining
2023-03-11,Target,422.31,Shopping
2023-03-11,Apartment Lease,1332.11,Rent
2023-03-11,Uber,469.98,Transport
2023-03-11,Bowling Alley,446.26,Entertainment
2023-03-12,Stock Dividend,2783.3,Income
2023-03-12,Concert Venue,376.24,Entertainment
2023-03-12,Disney+ Amazon Prime,167.29,Subscription
2023-03-12,Local Bistro,234.79,Dining
2023-03-13,Chipotle,241.94,Dining
2023-03-13,Cell Phone Bill,189.8,Utilities
2023-03-13,Whole Foods,70.54,Groceries
2023-03-13,Safeway,164.79,Groceries
2023-03-13,Dental Care,60.77,Healthcare
2023-03-14,Postmates,470.91,Food Delivery
2023-03-14,Dental Care,145.96,Healthcare
2023-03-15,Dental Care,130.55,Healthcare
2023-03-16,Netflix,131.66,Subscription
2023-03-16,Apple Store,173.33,Electronics
2023-03-16,Netflix,201.56,Subscription
2023-03-16,Monthly Rent Payment,2403.6,Rent
2023-03-17,Cell Phone Bill,391.18,Utilities
2023-03-17,Amazon,155.83,Shopping
2023-03-17,GrubHub,404.86,Food Delivery
2023-03-17,Stater Bros,343.09,Groceries
2023-03-17,Apple TV+,433.14,Subscription
2023-03-18,Uber,394.09,Transport
2023-03-19,Starbucks,391.34,Dining
2023-03-19,TechCorp Salary,2499.79,Income
2023-03-20,Dell Store,202.23,Electronics
2023-03-20,Walmart,400.08,Shopping
2023-03-21,Electric Bill,70.41,Utilities
2023-03-21,Stater Bros,411.04,Groceries
2023-03-21,Apple TV+,108.61,Subscription
2023-03-21,Apple Store,223.95,Electronics
2023-03-21,Target,179.72,Shopping
2023-03-21,Market Basket,356.64,Groceries
2023-03-22,Netflix,299.47,Subscription
2023-03-22,Stater Bros,379.83,Groceries
2023-03-22,Postmates,226.3,Food Delivery
2023-03-23,Apple Store,85.78,Electronics
2023-03-23,Netflix,162.29,Subscription
2023-03-23,Amazon,248.42,Shopping
2023-03-23,Electric Bill,86.89,Utilities
2023-03-24,Target,244.55,Shopping
2023-03-24,GrubHub,341.97,Food Delivery
2023-03-24,Electric Bill,383.74,Utilities
2023-03-25,Target,348.55,Shopping
2023-03-26,Uber,139.76,Transport
2023-03-26,Amazon,327.41,Shopping
2023-03-27,Internet Subscription,179.46,Utilities
2023-03-27,Macy's,290.02,Shopping
2023-03-28,GrubHub,225.59,Food Delivery
2023-03-28,Studio Rental,1650.76,Rent
2023-03-28,Spotify,283.34,Subscription
2023-03-28,Sushi Place,165.85,Dining
2023-03-28,Studio Rental,1389.82,Rent
2023-03-28,Monthly Rent Payment,1994.7,Rent
2023-03-29,Netflix,196.24,Subscription
2023-03-30,Shell Gas Station,225.17,Transport
2023-03-30,Samsung Online,10.97,Electronics
2023-03-30,Train Ticket,166.83,Transport
2023-03-31,Consulting Invoice,5956.61,Income
2023-04-02,DoorDash,180.65,Food Delivery
2023-04-03,Stater Bros,169.03,Groceries
2023-04-03,Samsung Online,188.0,Electronics
2023-04-03,Best Buy,100.81,Shopping
2023-04-04,City Parking,263.66,Transport
2023-04-04,Starbucks,61.22,Dining
2023-04-04,Spotify,33.99,Subscription
2023-04-04,Concert Venue,418.77,Entertainment
2023-04-05,Whole Foods,163.33,Groceries
2023-04-06,Dental Care,332.09,Healthcare
2023-04-06,Bowling Alley,242.08,Entertainment
2023-04-06,Walmart,115.62,Shopping
2023-04-06,Cell Phone Bill,53.4,Utilities
2023-04-07,Freelance Payment,7433.14,Income
2023-04-08,Walmart,293.28,Shopping
2023-04-08,Trader Joes,424.68,Groceries
2023-04-08,Bowling Alley,415.01,Entertainment
2023-04-08,Freelance Payment,7654.37,Income
2023-04-09,Local Gym,182.73,Entertainment
2023-04-09,Concert Venue,280.36,Entertainment
2023-04-10,Consulting Invoice,6343.74,Income
2023-04-10,Safeway,62.1,Groceries
2023-04-11,Disney+ Amazon Prime,121.01,Subscription
2023-04-12,Doctor Visit,15.62,Healthcare
2023-04-12,Suspicious Wire Transfer,12100.49,Shopping
2023-04-12,City Parking,368.56,Transport
2023-04-12,DoorDash,215.3,Food Delivery
2023-04-12,Olive Garden,231.28,Dining
2023-04-13,GrubHub,436.85,Food Delivery
2023-04-13,Dell Store,419.5,Electronics
2023-04-13,Local Gym,161.66,Entertainment
2023-04-14,Netflix,257.67,Subscription
2023-04-16,Freelance Payment,6134.26,Income
2023-04-16,DoorDash,362.54,Food Delivery
2023-04-16,Macy's,469.57,Shopping
2023-04-17,Studio Rental,1456.81,Rent
2023-04-17,Disney+ Amazon Prime,218.57,Subscription
2023-04-17,DoorDash,62.53,Food Delivery
2023-04-18,Chipotle,398.4,Dining
2023-04-19,Consulting Invoice,7845.7,Income
2023-04-20,Spotify,10.01,Subscription
2023-04-21,Micro Center,108.05,Electronics
2023-04-21,Bowling Alley,10.17,Entertainment
2023-04-22,Internet Subscription,177.86,Utilities
2023-04-22,Trader Joes,30.5,Groceries
2023-04-22,Uber,50.47,Transport
2023-04-23,Olive Garden,97.25,Dining
2023-04-25,Postmates,274.01,Food Delivery
2023-04-25,Movie Theater,141.33,Entertainment
2023-04-25,Dental Care,277.72,Healthcare
2023-04-25,Uber,236.54,Transport
2023-04-26,Apple Store,292.49,Electronics
2023-04-27,Movie Theater,457.66,Entertainment
2023-04-27,Best Buy,466.33,Shopping
2023-04-27,Studio Rental,2443.88,Rent
2023-04-28,Monthly Rent Payment,2096.46,Rent
2023-04-28,Disney+ Amazon Prime,84.85,Subscription
2023-04-28,GrubHub,440.14,Food Delivery
2023-04-28,Pharmacy,469.13,Healthcare
2023-04-29,Electric Bill,245.33,Utilities
2023-04-29,Cell Phone Bill,233.61,Utilities
2023-04-29,Disney+ Amazon Prime,291.06,Subscription
2023-04-29,Insurance Premium,340.99,Healthcare
2023-04-30,Electric Bill,391.57,Utilities
2023-04-30,GrubHub,455.34,Food Delivery
2023-04-30,GrubHub,33.84,Food Delivery
2023-05-01,Apple Store,189.51,Electronics
2023-05-01,Micro Center,238.7,Electronics
2023-05-02,Apple TV+,464.49,Subscription
2023-05-02,Internet Subscription,280.37,Utilities
2023-05-03,DoorDash,199.21,Food Delivery
2023-05-03,Water Utility,210.01,Utilities
2023-05-04,Consulting Invoice,3272.23,Income
2023-05-06,UberEats,431.74,Food Delivery
2023-05-06,Apple TV+,416.97,Subscription
2023-05-06,Spotify,167.93,Subscription
2023-05-06,Bowling Alley,165.39,Entertainment
2023-05-06,Insurance Premium,140.54,Healthcare
2023-05-07,Uber,198.52,Transport
2023-05-07,Concert Venue,452.54,Entertainment
2023-05-07,Internet Subscription,289.33,Utilities
2023-05-07,Shell Gas Station,304.42,Transport
2023-05-08,Local Bistro,147.66,Dining
2023-05-08,City Parking,69.74,Transport
2023-05-09,Pharmacy,297.53,Healthcare
2023-05-09,Doctor Visit,259.23,Healthcare
2023-05-10,Stock Dividend,5866.21,Income
2023-05-10,Monthly Rent Payment,1428.64,Rent
2023-05-10,UberEats,279.81,Food Delivery
2023-05-10,Trader Joes,316.08,Groceries
2023-05-11,Stock Dividend,3696.92,Income
2023-05-11,Olive Garden,347.53,Dining
2023-05-11,Amazon,307.71,Shopping
2023-05-11,Pharmacy,206.68,Healthcare
2023-05-12,Doctor Visit,41.66,Healthcare
2023-05-12,Walmart,212.6,Shopping
2023-05-13,DoorDash,12.69,Food Delivery
2023-05-13,Dental Care,78.94,Healthcare
2023-05-13,Studio Rental,1860.16,Rent
2023-05-13,Local Gym,50.91,Entertainment
2023-05-14,Netflix,94.73,Subscription
2023-05-14,Uber,230.33,Transport
2023-05-15,Consulting Invoice,5207.15,Income
2023-05-16,Monthly Rent Payment,2043.39,Rent
2023-05-16,Cell Phone Bill,182.61,Utilities
2023-05-16,Freelance Payment,2237.43,Income
2023-05-17,UberEats,247.39,Food Delivery
2023-05-17,Apartment Lease,1905.07,Rent
2023-05-17,Internet Subscription,261.81,Utilities
2023-05-17,Samsung Online,279.82,Electronics
2023-05-17,Uber,33.76,Transport
2023-05-17,Macy's,89.43,Shopping
2023-05-17,Apple TV+,404.24,Subscription
2023-05-18,Spotify,148.08,Subscription
2023-05-18,Stock Dividend,2995.52,Income
2023-05-19,Concert Venue,296.37,Entertainment
2023-05-19,Netflix,80.47,Subscription
2023-05-20,Apartment Lease,1053.44,Rent
2023-05-20,Electric Bill,474.6,Utilities
2023-05-20,Insurance Premium,209.04,Healthcare
2023-05-20,Samsung Online,141.21,Electronics
2023-05-21,Disney+ Amazon Prime,351.66,Subscription
2023-05-22,Lyft,211.69,Transport
2023-05-23,Spotify,296.11,Subscription
2023-05-23,Monthly Rent Payment,2414.49,Rent
2023-05-23,Whole Foods,395.84,Groceries
2023-05-23,Macy's,460.73,Shopping
2023-05-24,Postmates,59.09,Food Delivery
2023-05-24,Apartment Lease,1234.76,Rent
2023-05-25,Pharmacy,206.49,Healthcare
2023-05-25,Dell Store,265.99,Electronics
2023-05-25,DoorDash,192.33,Food Delivery
2023-05-25,Train Ticket,112.57,Transport
2023-05-25,Studio Rental,1177.82,Rent
2023-05-25,Consulting Invoice,3722.08,Income
2023-05-26,Apartment Lease,2181.42,Rent
2023-05-26,Spotify,240.9,Subscription
2023-05-26,Local Bistro,254.65,Dining
2023-05-27,Dental Care,372.93,Healthcare
2023-05-27,Consulting Invoice,2736.87,Income
2023-05-28,Cell Phone Bill,359.72,Utilities
2023-05-28,Stock Dividend,6603.15,Income
2023-05-28,Doctor Visit,249.42,Healthcare
2023-05-29,Uber,247.53,Transport
2023-05-29,Dental Care,474.64,Healthcare
2023-05-30,GrubHub,368.72,Food Delivery
2023-05-30,Postmates,486.35,Food Delivery
2023-05-30,Amazon,400.36,Shopping
2023-05-31,Market Basket,174.43,Groceries
2023-05-31,UberEats,50.17,Food Delivery
2023-05-31,Studio Rental,2214.53,Rent
2023-05-31,Consulting Invoice,5623.93,Income
2023-05-31,Macy's,250.04,Shopping
2023-06-01,Doctor Visit,289.64,Healthcare
2023-06-02,Chipotle,93.6,Dining
2023-06-02,TechCorp Salary,2505.23,Income
2023-06-02,Insurance Premium,107.35,Healthcare
2023-06-02,Monthly Rent Payment,1583.84,Rent
2023-06-03,Movie Theater,463.09,Entertainment
2023-06-03,Apple Store,301.95,Electronics
2023-06-03,Micro Center,211.78,Electronics
2023-06-03,Shell Gas Station,371.78,Transport
2023-06-03,DoorDash,369.03,Food Delivery
2023-06-04,Cell Phone Bill,395.57,Utilities
2023-06-04,Movie Theater,79.06,Entertainment
2023-06-04,Starbucks,173.82,Dining
2023-06-06,Spotify,119.1,Subscription
2023-06-06,Amazon,458.31,Shopping
2023-06-06,Local Bistro,369.08,Dining
2023-06-07,Micro Center,172.31,Electronics
2023-06-08,Apple TV+,256.43,Subscription
2023-06-09,Train Ticket,299.82,Transport
2023-06-09,Pharmacy,110.85,Healthcare
2023-06-09,DoorDash,100.14,Food Delivery
2023-06-10,Safeway,164.01,Groceries
2023-06-10,Cell Phone Bill,171.61,Utilities
2023-06-10,Stater Bros,449.95,Groceries
2023-06-10,Spotify,301.81,Subscription
2023-06-11,Studio Rental,2348.9,Rent
2023-06-11,Pharmacy,320.12,Healthcare
2023-06-12,Local Gym,241.69,Entertainment
2023-06-13,Target,354.04,Shopping
2023-06-13,Disney+ Amazon Prime,426.59,Subscription
2023-06-14,Suspicious Wire Transfer,9258.6,Shopping
2023-06-14,Local Bistro,51.55,Dining
2023-06-15,DoorDash,32.37,Food Delivery
2023-06-16,Dental Care,347.63,Healthcare
2023-06-17,City Parking,179.52,Transport
2023-06-17,Apartment Lease,2073.65,Rent
2023-06-18,Netflix,336.86,Subscription
2023-06-19,Sushi Place,91.61,Dining
2023-06-19,Movie Theater,319.55,Entertainment
2023-06-19,Micro Center,16.1,Electronics
2023-06-19,Monthly Rent Payment,1448.31,Rent
2023-06-20,Market Basket,226.18,Groceries
2023-06-20,Freelance Payment,6566.04,Income
2023-06-20,Internet Subscription,397.61,Utilities
2023-06-20,Monthly Rent Payment,2218.62,Rent
2023-06-20,Studio Rental,2151.66,Rent
2023-06-20,TechCorp Salary,2737.04,Income
2023-06-20,Apple Store,259.95,Electronics
2023-06-20,Apartment Lease,1122.3,Rent
2023-06-21,Safeway,341.59,Groceries
2023-06-21,Micro Center,50.52,Electronics
2023-06-22,Amazon,153.01,Shopping
2023-06-22,Lyft,249.17,Transport
2023-06-22,City Parking,257.31,Transport
2023-06-23,Apple Store,45.44,Electronics
2023-06-23,Pharmacy,33.94,Healthcare
2023-06-23,Safeway,421.92,Groceries
2023-06-24,Studio Rental,1532.26,Rent
2023-06-24,Safeway,123.99,Groceries
2023-06-24,Concert Venue,121.61,Entertainment
2023-06-25,Amazon,385.78,Shopping
2023-06-26,Uber,13.79,Transport
2023-06-26,UberEats,298.02,Food Delivery
2023-06-26,Dell Store,363.53,Electronics
2023-06-26,Walmart,475.35,Shopping
2023-06-27,Sushi Place,259.26,Dining
2023-06-27,Netflix Premium Annual Plan,299.99,Subscription
2023-06-27,DoorDash,496.18,Food Delivery
2023-06-28,Consulting Invoice,5284.06,Income
2023-06-28,Netflix,85.24,Subscription
2023-06-28,Apartment Lease,1483.32,Rent
2023-06-29,Studio Rental,1854.25,Rent
2023-06-29,Netflix,463.67,Subscription
2023-06-29,GrubHub,226.03,Food Delivery
2023-06-30,TechCorp Salary,5068.54,Income
2023-06-30,Electric Bill,316.11,Utilities
2023-06-30,UberEats,155.92,Food Delivery
2023-07-01,Local Gym,253.35,Entertainment
2023-07-01,Monthly Rent Payment,2054.77,Rent
2023-07-01,Starbucks,436.18,Dining
2023-07-01,TechCorp Salary,4619.45,Income
2023-07-01,Netflix,33.64,Subscription
2023-07-01,Consulting Invoice,4615.75,Income
2023-07-02,TechCorp Salary,2768.44,Income
2023-07-02,Water Utility,41.71,Utilities
2023-07-02,Concert Venue,90.08,Entertainment
2023-07-02,Sushi Place,214.27,Dining
2023-07-03,Water Utility,383.54,Utilities
2023-07-03,Studio Rental,2256.77,Rent
2023-07-03,Disney+ Amazon Prime,485.26,Subscription
2023-07-03,Apple TV+,298.12,Subscription
2023-07-03,Apple Store,233.79,Electronics
2023-07-03,Stater Bros,98.72,Groceries
2023-07-04,Local Bistro,300.46,Dining
2023-07-05,Train Ticket,294.8,Transport
2023-07-06,Spotify,75.06,Subscription
2023-07-06,Doctor Visit,284.95,Healthcare
2023-07-07,Dental Care,392.45,Healthcare
2023-07-07,Studio Rental,1753.77,Rent
2023-07-07,Samsung Online,395.04,Electronics
2023-07-08,Doctor Visit,475.15,Healthcare
2023-07-08,Dell Store,444.2,Electronics
2023-07-08,Pharmacy,418.98,Healthcare
2023-07-09,Doctor Visit,107.91,Healthcare
2023-07-10,Safeway,331.89,Groceries
2023-07-10,Sushi Place,416.26,Dining
2023-07-12,Doctor Visit,141.13,Healthcare
2023-07-12,Monthly Rent Payment,1497.97,Rent
2023-07-12,Pharmacy,173.59,Healthcare
2023-07-12,Local Gym,488.24,Entertainment
2023-07-12,Chipotle,187.4,Dining
2023-07-13,Monthly Rent Payment,1749.31,Rent
2023-07-13,Consulting Invoice,2144.68,Income
2023-07-14,Internet Subscription,96.76,Utilities
2023-07-14,Monthly Rent Payment,1430.75,Rent
2023-07-14,Movie Theater,81.41,Entertainment
2023-07-15,Freelance Payment,5122.09,Income
2023-07-15,Train Ticket,49.32,Transport
2023-07-15,Lyft,313.94,Transport
2023-07-16,Dental Care,188.58,Healthcare
2023-07-16,Dell Store,308.07,Electronics
2023-07-16,Market Basket,11.5,Groceries
2023-07-17,Safeway,290.23,Groceries
2023-07-17,Chipotle,408.05,Dining
2023-07-17,Monthly Rent Payment,1688.6,Rent
2023-07-17,Internet Subscription,49.31,Utilities
